,AC-mean,AC-10_moving_average,AC-se,AC-upper,AC-lower,HRS-mean,HRS-10_moving_average,HRS-se,HRS-upper,HRS-lower,RRS-mean,RRS-10_moving_average,RRS-se,RRS-upper,RRS-lower,NRSmean,NRS-10_moving,NRS-se,NRS-upper,NRS-lower,,,,,,,,,
26,5119.97,4889.874,426.2521992,5316.1261992,4463.6218008,3123.66,3314.994,378.5103196,3693.5043196,2936.4836804,5327.36,4723.211,413.7261661,5136.9371661,4309.4848339,5236.3431372549,5041.34117647058,430.736987568573,5472.07816403915,4610.60418890201,,,,,,,,,
27,4673.12,4842.08,408.024393,5250.104393,4434.055607,3742.44,3313.099,401.5985075,3714.6975075,2911.5004925,5056.64,4594.28,430.1875457,5024.4675457,4164.0924543,4741.57843137254,4992.00098039215,412.280659342296,5404.28163973445,4579.72032104985,,,,,,,,,
28,4668.04,4827.787,416.019364,5243.806364,4411.767636,3472.26,3263.355,388.3036638,3651.6586638,2875.0513362,4848.86,4573.981,424.4400457,4998.4210457,4149.5409543,5466.26470588235,4990.65392156862,412.482973196404,5403.13689476502,4578.17094837222,,,,,,,,,
29,5445.15,4864.571,428.1315703,5292.7025703,4436.4394297,3483.28,3203.595,385.6882617,3589.2832617,2817.9067383,5043.73,4501.782,424.702347,4926.484347,4077.079653,5173.09803921568,4926.83529411764,416.133765450187,5342.96905956783,4510.70152866745,,,,,,,,,
30,4696.48,4813.782,422.7182484,5236.5002484,4391.0637516,3400.08,3103.649,392.6362685,3496.2852685,2711.0127315,5167.01,4404.706,419.1267325,4823.8327325,3985.5792675,4594.14705882353,4863.14803921568,405.589315074149,5268.73735428983,4457.55872414153,,,,,,,,,
31,4954.71,4814.55,419.5355521,5234.0855521,4395.0144479,3410.64,3073.468,384.1718369,3457.6398369,2689.2961631,4464.07,4298.896,416.3119696,4715.2079696,3882.5840304,5053.5294117647,4892.41764705882,404.532835996108,5296.95048305493,4487.88481106271,,,,,,,,,
32,4842.73,4774.776,403.0424158,5177.8184158,4371.7335842,3203.89,3014.754,358.2393501,3372.9933501,2656.5146499,4221.77,4301.065,400.6631353,4701.7281353,3900.4018647,5107.99019607843,4830.99803921568,403.717058091504,5234.71509730718,4427.28098112418,,,,,,,,,
33,4670.26,4755.73,427.3458388,5183.0758388,4328.3841612,2816.34,2970.145,364.8327634,3334.9777634,2605.3122366,4274.04,4292.057,410.2045509,4702.2615509,3881.8524491,4935.57843137254,4764.35686274509,402.910691188823,5167.26755393391,4361.44617155627,,,,,,,,,
34,4969.38,4736.801,417.2812413,5154.0822413,4319.5197587,3135.62,2962.356,377.65046,3340.00646,2584.70554,4490.32,4296.067,425.3790302,4721.4460302,3870.6879698,4927.65686274509,4765.34411764705,417.204075228622,5182.54819287567,4348.14004241843,,,,,,,,,
35,4858.9,4689.791,425.2232408,5115.0142408,4264.5677592,3361.73,2900.569,371.6341865,3272.2031865,2528.9348135,4338.31,4238.68,415.4381096,4654.1181096,3823.2418904,5177.22549019607,4715.93921568627,413.706406238339,5129.64562192461,4302.23280944793,,,,,,,,,
36,4642.03,4636.294,421.026272,5057.320272,4215.267728,3104.71,2862.813,367.4441991,3230.2571991,2495.3688009,4038.05,4204.807,398.1643137,4602.9713137,3806.6426863,4742.94117647058,4678.68333333333,399.816589492333,5078.49992282566,4278.866743841,,,,,,,,,
37,4530.19,4657.772,439.5813542,5097.3533542,4218.1906458,3245,2836.294,369.6957725,3205.9897725,2466.5982275,4853.65,4271.405,409.7310673,4681.1360673,3861.6739327,4728.10784313725,4651.54411764705,396.824953130375,5048.36907077743,4254.71916451668,,,,,,,,,
38,5035.88,4628.503,426.0982542,5054.6012542,4202.4047458,2874.66,2759.719,356.8623066,3116.5813066,2402.8566934,4126.87,4240.12,417.1392186,4657.2592186,3822.9807814,4828.07843137254,4604.99901960784,413.300284863601,5018.29930447144,4191.69873474424,,,,,,,,,
39,4937.26,4548.845,418.1892681,4967.0342681,4130.6557319,2483.82,2722.58,328.4434915,3051.0234915,2394.1365085,4072.97,4283.358,421.5450452,4704.9030452,3861.8129548,4536.22549019607,4541.00980392156,408.080950392932,4949.09075431449,4132.92885352863,,,,,,,,,
