HRS-mean,HRS-se,HRS-upper,HRS-lower,RRS-mean,RRS-se,RRS-upper,RRS-lower,SARSA-mean,SARSA-se,SARSA-upper,SARSA-lower,NRS-mean,NRS-se,NRS-upper,NRS-lower,,,
686.484,9.2074392032031,695.691439203203,677.276560796797,711.724,9.30169981473506,721.025699814735,702.422300185265,732.87,29.5618736677407,762.431873667741,703.308126332259,732.869999999999,9.30608060550927,742.176080605508,723.56391939449,,,
686.915000000001,9.18385272780026,696.098852727801,677.731147272201,719.243999999999,8.98350843979613,728.227508439795,710.260491560203,778.189999999999,26.5753120604654,804.765312060464,751.614687939534,846.862999999999,8.19634933207308,855.059349332072,838.666650667926,,,
605.041999999999,9.52168591892943,614.563685918928,595.52031408107,648.322,9.34955541737159,657.671555417372,638.972444582628,657.709999999999,30.3143173661182,688.024317366117,627.395682633881,749.562,10.7694044509539,760.331404450954,738.792595549046,,,
609.467999999999,9.63474064016278,619.102740640162,599.833259359836,621.528999999999,9.51000922367772,631.039009223677,612.018990776321,667.129999999999,29.8002361017018,696.930236101701,637.329763898297,802.259999999999,10.5593605154145,812.819360515414,791.700639484585,,,
550.843999999999,9.53603867954079,560.38003867954,541.307961320458,609.601999999999,9.5857349175695,619.187734917569,600.01626508243,692.749999999999,32.0083839238119,724.758383923811,660.741616076187,882.209999999999,8.21280500596886,890.422805005968,873.99719499403,,,
526.697,9.3032359633834,536.000235963383,517.393764036617,567.848999999998,9.5740887490338,577.423088749032,558.274911250964,674.03,30.1301770102113,704.160177010211,643.899822989789,865.692,8.5105953592783,874.202595359278,857.181404640722,,,
499.607,9.40737557803801,509.014375578038,490.199624421962,552.063999999998,9.4463449723869,561.510344972385,542.617655027611,665.219999999999,30.282079842639,695.502079842638,634.93792015736,880.791999999998,7.71445017337469,888.506450173373,873.077549826623,,,
487.056,9.18145565757369,496.237455657574,477.874544342426,511.314,9.33419190624134,520.648191906241,501.979808093759,659.819999999999,29.8101141401792,689.630114140178,630.00988585982,873.385999999998,7.42373483112414,880.809734831122,865.962265168874,,,
472.915999999999,9.18367981361063,482.09967981361,463.732320186388,482.535,9.30579059046104,491.840790590461,473.229209409539,632.8,33.8818624939746,666.681862493975,598.918137506025,842.691999999999,8.56139805596455,851.253398055964,834.130601944034,,,
433.579,8.86724352697986,442.44624352698,424.71175647302,471.157999999999,8.90142226581542,480.059422265814,462.256577734184,593.369999999999,29.8427990908319,623.212799090831,563.527200909167,824.228999999999,8.80253788587321,833.031537885872,815.426462114126,,,
393.779,8.23794233124101,402.016942331241,385.541057668759,453.398999999999,9.25265872560379,462.651658725603,444.146341274395,586.269999999999,32.0183055438447,618.288305543844,554.251694456154,796.164,9.39912680458598,805.563126804586,786.764873195414,,,
398.278,8.24532741254947,406.523327412549,390.032672587451,420.977,8.59656625766487,429.573566257665,412.380433742335,662.159999999999,31.9947840446002,694.154784044599,630.165215955399,810.157,9.21125580931198,819.368255809312,800.945744190688,,,
363.692999999999,8.01260473164537,371.705604731644,355.680395268354,409.784999999999,8.3436483172676,418.128648317267,401.441351682731,597.11,31.9993020599392,629.109302059939,565.110697940061,801.252000000001,9.00615852555266,810.258158525554,792.245841474448,,,
364.883,7.91102342321158,372.794023423212,356.971976576788,388.288,8.28085488422622,396.568854884226,380.007145115774,591.659999999999,30.7595110362945,622.419511036294,560.900488963705,798.785999999999,8.95991083695631,807.745910836955,789.826089163043,,,
352.075,7.31146749510189,359.386467495102,344.763532504898,385.937999999999,8.34680773441893,394.284807734418,377.59119226558,572.59,29.9283794746691,602.518379474669,542.661620525331,793.624999999999,9.42284460104148,803.04784460104,784.202155398958,,,
331.139999999999,7.64533462587098,338.78533462587,323.494665374128,366.240999999999,7.94822226388746,374.189222263886,358.292777736112,570.009999999999,30.1895610261145,600.199561026114,539.820438973885,788.023999999999,9.4206721887819,797.444672188781,778.603327811217,,,
317.26,7.34479233024146,324.604792330241,309.915207669759,351.038999999999,7.66569869062277,358.704698690622,343.373301309376,600.679999999999,30.9636766015741,631.643676601573,569.716323398425,770.341999999999,9.55440608890541,779.896406088904,760.787593911094,,,
