,0
0,1908
1,10000
2,10000
3,10000
4,10000
5,10000
6,305
7,1980
8,690
9,163
10,556
11,1168
12,1859
13,1217
14,1938
15,10000
16,10000
17,10000
18,10000
19,10000
20,10000
21,10000
22,3691
23,1656
24,1545
25,2066
26,5508
27,3270
28,776
29,705
30,1526
31,598
32,1030
33,2656
34,2294
35,386
36,743
37,2985
38,2773
39,10000
40,116
41,10000
42,10000
43,10000
44,2627
45,9584
46,4633
47,6852
48,10000
49,373
50,10000
51,10000
52,10000
53,10000
54,10000
55,10000
56,514
57,567
58,10000
59,10000
60,10000
61,10000
62,7087
63,10000
64,10000
65,10000
66,10000
67,10000
68,1017
69,10000
70,4623
71,7595
72,6716
73,1422
74,2111
75,6530
76,1355
77,1670
78,1030
79,1149
80,640
81,2855
82,605
83,516
84,1753
85,2335
86,179
87,688
88,1252
89,924
90,1046
91,453
92,282
93,586
94,219
95,261
96,701
97,1099
98,166
99,165
100,1598
101,3060
102,501
103,849
104,1717
105,250
106,750
107,181
108,2932
109,5577
110,830
111,126
112,1086
113,1822
114,448
115,372
116,1242
117,627
118,753
119,311
120,304
121,390
122,299
123,626
124,470
125,753
126,2942
127,5970
128,1892
129,321
130,180
131,1337
132,612
133,219
134,3620
135,644
136,1581
137,621
138,1273
139,279
140,996
141,243
142,1072
143,1097
144,1752
145,467
146,651
147,668
148,813
149,1644
150,2135
151,248
152,696
153,1590
154,323
155,801
156,562
157,680
158,326
159,3460
160,247
161,358
162,819
163,1944
164,1630
165,756
166,184
167,270
168,1256
169,252
170,520
171,228
172,1014
173,139
174,2324
175,771
176,328
177,333
178,984
179,488
180,897
181,328
182,529
183,897
184,1803
185,1180
186,423
187,1062
188,550
189,653
190,1408
191,207
192,1504
193,1195
194,312
195,1434
196,632
197,226
198,375
199,769
