,0
0,371
1,10000
2,5536
3,10000
4,10000
5,10000
6,10000
7,5065
8,10000
9,3016
10,7435
11,6686
12,722
13,389
14,1208
15,1127
16,837
17,2584
18,350
19,1446
20,200
21,693
22,188
23,2418
24,961
25,6819
26,4178
27,211
28,760
29,507
30,425
31,431
32,134
33,121
34,10000
35,1018
36,937
37,1124
38,584
39,353
40,371
41,410
42,3565
43,592
44,294
45,638
46,771
47,976
48,685
49,1496
50,1708
51,556
52,670
53,1871
54,633
55,440
56,1706
57,10000
58,10000
59,10000
60,6382
61,1130
62,4946
63,2095
64,632
65,1567
66,390
67,235
68,764
69,4177
70,227
71,318
72,10000
73,5345
74,1283
75,10000
76,8123
77,2283
78,1070
79,1073
80,1002
81,245
82,7274
83,1409
84,486
85,5238
86,758
87,980
88,814
89,1339
90,579
91,724
92,228
93,931
94,377
95,1690
96,195
97,622
98,1126
99,183
100,159
101,363
102,803
103,2723
104,2808
105,288
106,1229
107,623
108,130
109,330
110,809
111,2746
112,1525
113,1659
114,501
115,235
116,572
117,180
118,684
119,231
120,858
121,541
122,203
123,469
124,390
125,192
126,454
127,143
128,288
129,729
130,673
131,456
132,132
133,169
134,200
135,900
136,1668
137,1106
138,261
139,567
140,3644
141,1311
142,1134
143,1581
144,2221
145,326
146,1413
147,192
148,2703
149,283
150,141
151,963
152,1379
153,1988
154,1845
155,1353
156,360
157,1137
158,1737
159,239
160,405
161,339
162,871
163,1109
164,1210
165,1045
166,1920
167,1085
168,2329
169,513
170,2103
171,718
172,3067
173,3676
174,621
175,817
176,3332
177,1581
178,860
179,891
180,9469
181,257
182,1231
183,595
184,871
185,718
186,263
187,368
188,874
189,889
190,1054
191,4536
192,1571
193,414
194,323
195,546
196,394
197,167
198,499
199,1565
