../../learning/fourrooms/res/steps/*sarsa*
7
11
10
6
1
8
10
3
12
3
11
8
3
7
11
8
5
8
9
9
6
14
9
9
11
7
11
3
2
8
8
6
2
3
9
4
8
5
1
9
7
5
3
4
1
5
19
10
3
4
8
8
7
7
7
11
5
11
5
9
3
14
3
9
1
5
3
17
17
9
7
4
6
12
2
1
7
11
7
7
10
7
6
1
5
4
5
8
1
2
9
10
5
6
11
2
11
1
6
5
