../../learning/fourrooms/res/steps/*sarsa*
17973
17739
17647
17529
17717
17600
17648
17746
17603
17746
17953
17600
17746
17624
17739
17522
17869
17525
17480
18310
17529
17905
17603
18033
17644
17624
19198
17668
17678
17803
17828
17814
17887
17904
18033
17640
17525
17563
17567
18033
17624
17869
17746
17760
17819
17875
17824
17666
17882
17640
17803
17522
17919
17919
17973
17892
17563
17953
17875
17480
17901
17905
17668
17658
17664
17563
17703
17881
17881
17860
17922
17834
17529
17603
17961
17819
17919
17644
17922
17624
17949
17666
17895
17957
18336
17640
17746
17525
17664
17838
17658
17666
17839
17776
17892
17678
17892
17856
17680
19352
