,runtime
0,9.213574886322021
1,9.426999807357788
2,9.993259906768799
3,7.978665351867676
4,11.932185888290405
5,8.83238697052002
6,11.807109832763672
7,10.667016983032227
8,11.008790969848633
9,9.279494047164917
10,9.104642868041992
11,8.978508949279785
12,7.415536880493164
13,9.192441701889038
14,11.757124185562134
15,9.240894794464111
16,9.551031112670898
17,8.041858911514282
18,7.523808002471924
19,10.869176864624023
20,9.546875
21,8.165961980819702
22,7.9319140911102295
23,10.014277219772339
24,10.760520935058594
25,9.126938104629517
26,7.577412128448486
27,10.123570919036865
28,10.358277797698975
29,10.082459211349487
30,9.346867084503174
31,9.38102102279663
32,9.9997079372406
33,9.718738317489624
34,9.29577898979187
35,9.925256252288818
36,9.04967188835144
37,10.788501977920532
38,8.484884262084961
39,9.735390901565552
40,11.052703142166138
41,8.845265865325928
42,9.430174112319946
43,12.347506999969482
44,9.236132860183716
45,8.176980972290039
46,9.604166269302368
47,11.429672956466675
48,7.92876124382019
49,11.221678018569946
50,10.042163372039795
51,8.277612209320068
52,8.049209117889404
53,10.240937948226929
54,7.40910792350769
55,10.838872194290161
56,11.20032000541687
57,8.019620895385742
58,10.486664056777954
59,9.076235055923462
60,10.08146619796753
61,10.228062868118286
62,9.575306177139282
63,7.6747987270355225
64,9.899372100830078
65,8.594485998153687
66,11.125123023986816
67,10.518870115280151
68,10.285231113433838
69,10.453387022018433
70,8.238317966461182
71,8.71891188621521
72,9.973384857177734
73,8.730802059173584
74,7.767435073852539
75,11.84787106513977
76,10.552855014801025
77,8.636137008666992
78,10.279663801193237
79,8.69188117980957
80,9.622082948684692
81,8.748296022415161
82,11.061819314956665
83,9.83408808708191
84,11.021480083465576
85,9.694440364837646
86,9.301863193511963
87,8.904806137084961
88,10.516630172729492
89,10.254926681518555
90,8.489399909973145
91,10.70510482788086
92,8.889557361602783
93,11.311208009719849
94,9.777116060256958
95,9.737452030181885
96,9.63773798942566
97,10.151618003845215
98,9.622557878494263
99,9.351282119750977
