,runtime
0,10.150025129318237
1,9.245623111724854
2,8.656410217285156
3,8.11765718460083
4,7.2839062213897705
5,7.93879508972168
6,10.186158180236816
7,9.252351999282837
8,9.94321608543396
9,9.557224988937378
10,9.004822015762329
11,8.395909070968628
12,9.507488012313843
13,8.9321768283844
14,9.572361946105957
15,7.575069904327393
16,10.443688154220581
17,10.329909324645996
18,9.642632961273193
19,7.678321361541748
20,10.823852062225342
21,9.904559135437012
22,11.51102590560913
23,8.352451086044312
24,9.214447975158691
25,9.784115314483643
26,9.776358842849731
27,7.832952976226807
28,9.242907762527466
29,11.597556114196777
30,9.358017921447754
31,8.82712984085083
32,9.943154096603394
33,9.274124145507812
34,8.611680030822754
35,9.830926895141602
36,10.542505979537964
37,8.771553039550781
38,9.274834871292114
39,7.516857147216797
40,9.258009195327759
41,7.9532859325408936
42,8.294924974441528
43,10.569045066833496
44,11.030150890350342
45,9.74955415725708
46,9.355410099029541
47,9.628970861434937
48,10.214363098144531
49,8.105446815490723
50,10.190049886703491
51,11.397212982177734
52,8.093308925628662
53,9.402373790740967
54,8.600078105926514
55,8.75601601600647
56,8.523855686187744
57,8.078835010528564
58,8.573211908340454
59,8.702479124069214
60,9.625612020492554
61,9.369436264038086
62,10.187920808792114
63,8.363700866699219
64,8.969459295272827
65,12.43106484413147
66,9.382904052734375
67,10.065721988677979
68,12.173377990722656
69,10.961421012878418
70,9.281536102294922
71,8.230596780776978
72,9.048089027404785
73,8.251280784606934
74,9.569119930267334
75,9.489388942718506
76,9.00170111656189
77,7.739074945449829
78,9.78931188583374
79,9.846333742141724
80,8.047603368759155
81,10.32326602935791
82,12.464920997619629
83,9.335982084274292
84,8.482455968856812
85,10.147966146469116
86,7.778865098953247
87,9.14474892616272
88,8.810978889465332
89,10.213029146194458
90,9.603595972061157
91,10.148661136627197
92,7.90015983581543
93,7.825669765472412
94,8.860688209533691
95,8.007793188095093
96,7.67670202255249
97,10.287055730819702
98,9.587585926055908
99,9.510659217834473
